3-4 https://steamcommunity.com/market/listings/730/MP5-SD | Co-Processor (Field-Tested)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/AUG | Condemned (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/Five-SeveN | Silver Quartz (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/FAMAS | Teardown (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/USP-S | Forest Leaves (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/SSG 08 | Acid Fade (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/UMP-45 | Full Stop (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/Tec-9 | Safety Net (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/AUG | Amber Fade (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/SSG 08 | Spring Twilly (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/Desert Eagle | Sputnik (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/R8 Revolver | Blaze (Factory New)
0.0000000001-0.01 https://steamcommunity.com/market/listings/730/M4A1-S | Fizzy POP (Factory New)
